ticker,company_name,sector_raw
EPQL,Engro Powergen Qadirpur Limited,POWER GENERATION & DISTRIBUTION
ESBL,Escorts Investment Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.
EWIC,East West Insurance Company Limited,INSURANCE
EWICR1,East West (R),
EWLA,East West Life Assurance Company Limited,INSURANCE
EXIDE,Exide Pakistan Limited,AUTOMOBILE PARTS & ACCESSORIES
EXTR,Extraction (Pakistan) Limited,
FABL,Faysal Bank Limited,COMMERCIAL BANKS
FAEL,Fatima Enterprises Limited,TEXTILE SPINNING
FANM,First Al-Noor Modaraba,MODARABAS
FASM,Faisal Spinning Mills Limited,TEXTILE COMPOSITE
FATIMA,Fatima Fertilizer Company Limited,FERTILIZER
FCCL,Fauji Cement Company Limited,CEMENT
FCEL,First Capital Equities Limited,INV. BANKS / INV. COS. / SECURITIES COS.
FCEPL,Frieslandcampina Engro Pakistan Limited,FOOD & PERSONAL CARE PRODUCTS
FCIBL,First Credit and Investment Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.
FCL,Fast Cables Limited,CABLE & ELECTRICAL GOODS
FCONM,First Constellation Modaraba,MODARABAS
FCSC,First Capital Securities Corporation,INV. BANKS / INV. COS. / SECURITIES COS.
FDIBL,First Dawood Investment Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.
FDPL,First Dawood Properties Limited,INV. BANKS / INV. COS. / SECURITIES COS.
FECM,First Elite Capital Modaraba,MODARABAS
FECTC,Fecto Cement Limited,CEMENT
FEM,First Equity Modaraba,MODARABAS
FEROZ,Ferozsons Laboratories Limited,PHARMACEUTICALS
FFBL,Fauji Fertilizer Bin Qasim Limited,FERTILIZER
FFC,Fauji Fertilizer Company Limited,FERTILIZER
FFL,Fauji Foods Limited,FOOD & PERSONAL CARE PRODUCTS
FFLM,First Fidelity Leasing Modaraba,MODARABAS
FFLNV,,FOOD & PERSONAL CARE PRODUCTS
FFLR1,Fauji Foods Ltd(R),
FHAM,First Habib Modaraba,MODARABAS
FIBLM,First IBL Modaraba,MODARABAS
FIL,Fateh Industries Limited,LEATHER & TANNERIES
FIM,First Investec Modaraba,MODARABAS
FIMM,First Imrooz Modaraba,MODARABAS
FLYNG,Flying Cement Company Limited,CEMENT
FLYNGR1,Flying Cement(R),CEMENT
FML,Feroze1888 Mills Limited,TEXTILE COMPOSITE
FNBM,First National Bank Modaraba,MODARABAS
FNEL,First National Equities Limited,INV. BANKS / INV. COS. / SECURITIES COS.
FPJM,First Punjab Modaraba,MODARABAS
FPRM,First Paramount Modaraba,MODARABAS
FRCL,Frontier Ceramics Limited,GLASS & CERAMICS
FRSM,Faran Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES
FSWL,Fateh Sports Wear Limited,TEXTILE COMPOSITE
FTHM,Fateh Textile Mills Limited,TEXTILE COMPOSITE
FTMM,First Treet Manufacturing Modaraba,MODARABAS
FTSM,First Tri-Star Modaraba,MODARABAS
FUDLM,First UDL Modaraba,
FZCM,Fazal Cloth Mills Limited,TEXTILE COMPOSITE
GADT,Gadoon Textile Mills Limited,TEXTILE SPINNING
GAIL,Ghani Automobile Industries Limited,AUTOMOBILE ASSEMBLER
GAILR1,,
GAL,Ghandhara Automobiles Limited,AUTOMOBILE ASSEMBLER
GAMON,Gammon Pakistan Limited,MISCELLANEOUS
GATI,Gatron (Industries) Limited,SYNTHETIC & RAYON
GATM,Gul Ahmed Textile Mills Limited,TEXTILE COMPOSITE
GCIL,Ghani Chemical Industries Limited,CHEMICAL
GCILB,Ghani Chemical Industries Limited (B),
GCWL,Ghani Chemworld Limited,CHEMICAL
GDL,Ghani Dairies Limited,FOOD & PERSONAL CARE PRODUCTS
GEMBCEM,Burj Clean Energy Modaraba(GEM),MODARABAS
GEMBLUEX,Blue-Ex Limited (GEM),TRANSPORT
GEMMEL,Mughal Energy Limited(GEM),POWER GENERATION & DISTRIBUTION
GEMNETS,Nets International Communication Limited,TECHNOLOGY & COMMUNICATION
GEMPACRA,The Pakistan Credit Rating Agency Ltd,MISCELLANEOUS
GEMPAPL,Pak Agro Packaging Limited(GEM),"PAPER, BOARD & PACKAGING"
GEMSPNL,Supernet Limited,TECHNOLOGY & COMMUNICATION
GEMUNSL,Universal Network Systems Limited(GEM),
GENP,Genertech Pakistan Limited,POWER GENERATION & DISTRIBUTION
GFIL,Ghazi Fabrics International Limited,TEXTILE COMPOSITE
GGGL,Ghani Global Glass Limited,GLASS & CERAMICS
GGGLR1,Ghani Global(R),
GGL,Ghani Global Holdings Limited,CHEMICAL
GGLR1,Ghani Global(R),
GHGL,Ghani Glass Limited,GLASS & CERAMICS
GHGLR1,,GLASS & CERAMICS
GHNI,Ghandhara Industries Limited,AUTOMOBILE ASSEMBLER
