ticker,yahoo_ticker,total_debt,total_assets,accounts_receivable,non_compliant_investments,cash,total_revenue,interest_income,net_income,market_cap,current_price,shares_outstanding,long_business_summary,fetched_at
ASC,ASC.KA,,,,0.0,,,0.0,,2770684928.0,7.39,374923537.0,Al Shaheer Corporation Limited,2026-06-01T09:01:36.650326+00:00
ASCR1,ASCR1.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
ASHT,ASHT.KA,,,,0.0,,,0.0,,566696512.0,12.17,46565035.0,"ASHT.KA,0P0000BIV8,3295",2026-06-01T09:01:36.650326+00:00
ASIC,ASIC.KA,,,,0.0,,,0.0,,967359168.0,13.25,73008243.0,"ASIC.KA,0P0000AOI0,0",2026-06-01T09:01:36.650326+00:00
ASL,ASL.KA,572133000.0,40597158000.0,2119533000.0,0.0,217072000.0,42749652000.0,269673000.0,-132470000.0,6621713408.0,7.12,930015957.0,Aisha Steel Mills Limited,2026-06-01T09:01:36.650326+00:00
ASLPS,ASLPS.KA,572133000.0,40597158000.0,2119533000.0,0.0,217072000.0,42749652000.0,269673000.0,-132470000.0,,9.0,,"ASLPS.KA,0P0000WMJR,0",2026-06-01T09:01:36.650326+00:00
ASRL,ASRL.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
ASTL,ASTL.KA,124922000.0,46839908000.0,2349962000.0,0.0,195444000.0,38775737000.0,1825000.0,-6106723000.0,7152034816.0,24.08,297011427.0,Amreli Steels Limited,2026-06-01T09:01:36.650326+00:00
ASTM,ASTM.KA,,,,0.0,,,0.0,,168616464.0,11.11,15177000.0,"ASTM.KA,0P0000CIAU,9064",2026-06-01T09:01:36.650326+00:00
ATBA,ATBA.KA,1272179000.0,18908846000.0,2607512000.0,0.0,1028210000.0,35201281000.0,0.0,91205000.0,14917606400.0,426.01,35017033.0,"ATBA.KA,0P0000BX0N,264890",2026-06-01T09:01:36.650326+00:00
ATIL,ATIL.KA,,,,0.0,,,0.0,,6163396608.0,41.25,149415675.0,"ATIL.KA,0P0000E6U1,54502",2026-06-01T09:01:36.650326+00:00
ATLH,ATLH.KA,0.0,87341629000.0,2506086000.0,0.0,30099343000.0,203894438000.0,671792000.0,15251615000.0,77167804416.0,621.88,124087935.0,Atlas Honda Limited,2026-06-01T09:01:36.650326+00:00
ATRL,ATRL.KA,0.0,229840986000.0,37036362000.0,0.0,32370491000.0,383071910000.0,14773977000.0,25049738000.0,37006499840.0,347.1,106616250.0,Attock Refinery Limited,2026-06-01T09:01:36.650326+00:00
AVN,AVN.KA,208623000.0,28162524000.0,8513544000.0,0.0,756748000.0,16156098000.0,9751000.0,2008811000.0,28630872064.0,67.78,422408878.0,"AVN.KA,0P00011X4M,9616486",2026-06-01T09:01:36.650326+00:00
AWTX,AWTX.KA,,,,0.0,,,0.0,,1004000000.0,1255.0,800000.0,"AWTX.KA,0P0000C934,0",2026-06-01T09:01:36.650326+00:00
AWWAL,AWWAL.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
AYTM,AYTM.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
AYZT,AYZT.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
AZMT,AZMT.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
AZTM,AZTM.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
BAFL,BAFL.KA,81124557000.0,3835085168000.0,,0.0,251692628000.0,180583427000.0,356951918000.0,27802210000.0,205063012352.0,65.01,3154330238.0,Bank Alfalah Limited,2026-06-01T09:01:36.650326+00:00
BAFS,BAFS.KA,,,,0.0,,,0.0,,559534464.0,59.21,9450000.0,"BAFS.KA,0P0000AUNG,0",2026-06-01T09:01:36.650326+00:00
BAHL,BAHL.KA,62725683000.0,3309509502000.0,,0.0,197616105000.0,161609282000.0,337428319000.0,32442552000.0,124101763072.0,111.66,1111425416.0,Bank AL Habib Limited,2026-06-01T09:01:36.650326+00:00
BAPL,BAPL.KA,,,,0.0,,,0.0,,202567792.0,27.0,7502510.0,"BAPL.KA,0P0000AXKD,4313",2026-06-01T09:01:36.650326+00:00
BATA,BATA.KA,0.0,13585445000.0,370521000.0,0.0,983747000.0,17730513000.0,16269000.0,-2385054000.0,13456799744.0,1780.0,7560000.0,Bata Pakistan Limited,2026-06-01T09:01:36.650326+00:00
BBFL,BBFL.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
BCL,BCL.KA,,,,0.0,,,0.0,,1497968256.0,130.57,11472529.0,"BCL.KA,0P0000CAQ5,19724",2026-06-01T09:01:36.650326+00:00
BCML,BCML.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
BECO,BECO.KA,,,,0.0,,,0.0,,7772667904.0,6.22,1249625100.0,"BECO.KA,0P0000BCMS,5556",2026-06-01T09:01:36.650326+00:00
BEEM,BEEM.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
BELA,BELA.KA,,,,0.0,,,0.0,,651281984.0,112.29,5800000.0,Bela Automotives Ltd.,2026-06-01T09:01:36.650326+00:00
BERG,BERG.KA,,,,0.0,,,0.0,,2119786496.0,86.34,24551615.0,Berger Paints Pakistan Limited,2026-06-01T09:01:36.650326+00:00
BFAGRO,BFAGRO.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
BFBIO,BFBIO.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
BFMOD,BFMOD.KA,,,,0.0,,,0.0,,56363684.0,7.5,7515158.0,"BFMOD.KA,0P0000BY9P,64020",2026-06-01T09:01:36.650326+00:00
